Champion 1	Champion 2	# Games	Winrate	Duo GD@15	Duo CSD@15
 Lee Sin JUNGLE	 Sion TOP	19	63.2	-233.9	-9.2
 Annie MID	 Bard SUPPORT	19	63.2	27.3	-4.9
 Ashe ADC	 Gnar TOP	27	63.0	5.4	2.1
 Ashe ADC	 Xin Zhao JUNGLE	59	62.7	-288	-3.7
 Xin Zhao JUNGLE	 Nami SUPPORT	24	62.5	-425.7	-1.3
 Lee Sin JUNGLE	 Annie MID	24	62.5	282	5.6
 Jhin ADC	 Neeko SUPPORT	16	62.5	78.9	0.8
 Ezreal ADC	 Orianna MID	16	62.5	112.6	0.5
 Ashe ADC	 Vi JUNGLE	16	62.5	194.4	-1.5
 Lucian ADC	 Gnar TOP	21	61.9	226	-8.3
 Vi JUNGLE	 Ahri MID	47	61.7	187.2	7.3
 Caitlyn ADC	 Jarvan IV JUNGLE	26	61.5	353.8	10.5
 Sivir ADC	 Aurora MID	13	61.5	748.8	1.6
 Yunara ADC	 Orianna MID	13	61.5	202.7	6.1
 Caitlyn ADC	 Viktor MID	13	61.5	682.8	18.9
 Viktor MID	 Rumble TOP	13	61.5	454.6	8.4
 Karma SUPPORT	 Jayce TOP	13	61.5	391.2	9.6
 Vi JUNGLE	 Neeko SUPPORT	13	61.5	-166.3	0.8
 Kaisa ADC	 Vi JUNGLE	13	61.5	248.4	-4.8
 Cassiopeia MID	 Rumble TOP	13	61.5	377.2	5.7
 Jarvan IV JUNGLE	 Cassiopeia MID	18	61.1	189.9	13.2
 Cassiopeia MID	 Sion TOP	18	61.1	-216.4	-4.5
 Caitlyn ADC	 Bard SUPPORT	74	60.8	-6.4	0.8
 Ashe ADC	 Seraphine SUPPORT	173	60.7	-21.3	0
 Annie MID	 Seraphine SUPPORT	28	60.7	-130.4	-0.1
 Nautilus SUPPORT	 Rumble TOP	25	60.0	172.2	-5.9
 Jarvan IV JUNGLE	 KSante TOP	25	60.0	67.6	1.6
 Ahri MID	 Rumble TOP	20	60.0	212.1	10.7
 Vi JUNGLE	 Rakan SUPPORT	20	60.0	30.7	8.1
 Nami SUPPORT	 Gnar TOP	20	60.0	-241	-6.7
 Lucian ADC	 Wukong JUNGLE	20	60.0	294.4	2.1
 Nocturne JUNGLE	 Rumble TOP	15	60.0	387.3	6
 Varus ADC	 Nautilus SUPPORT	15	60.0	434	12.2
 Viktor MID	 Renekton TOP	15	60.0	-94.9	5.1
 Caitlyn ADC	 Xin Zhao JUNGLE	15	60.0	449.9	8.8
 Varus ADC	 Ambessa TOP	15	60.0	255.8	-5.7
 Ashe ADC	 Ahri MID	15	60.0	234.7	11.5
 Naafiri JUNGLE	 Seraphine SUPPORT	15	60.0	69.5	4.5
 Caitlyn ADC	 Aurora MID	15	60.0	-72.2	-2.2
 Rakan SUPPORT	 Renekton TOP	10	60.0	189.2	8.2
 Jarvan IV JUNGLE	 Akali MID	10	60.0	269.5	-3.8
 Lee Sin JUNGLE	 Lulu SUPPORT	10	60.0	108.4	-6.2
 Cassiopeia MID	 Gnar TOP	10	60.0	-263.1	-6.6
 Sivir ADC	 Jayce TOP	10	60.0	362.8	17.4
 Pantheon JUNGLE	 Orianna MID	10	60.0	-651.3	-13.9
 Cassiopeia MID	 Karma SUPPORT	10	60.0	628.1	2.2
 Sejuani JUNGLE	 Yone MID	10	60.0	-263.2	-5
 Jarvan IV JUNGLE	 Viktor MID	10	60.0	-37.7	6.9
 Trundle JUNGLE	 Cassiopeia MID	10	60.0	468.4	-0.4
 Xin Zhao JUNGLE	 Ryze MID	37	59.5	169.6	6.4
 Ezreal ADC	 Annie MID	27	59.3	-96.9	-6.4
 Lucian ADC	 Nami SUPPORT	22	59.1	-31	-4.5
 Ahri MID	 Lulu SUPPORT	22	59.1	310.2	5.3
 Jarvan IV JUNGLE	 Seraphine SUPPORT	34	58.8	514.3	8
 Ezreal ADC	 Renekton TOP	17	58.8	-206.9	-0.5
 Nocturne JUNGLE	 Annie MID	17	58.8	-150.4	2.6
 Wukong JUNGLE	 Seraphine SUPPORT	17	58.8	21.6	5.7
 Yunara ADC	 Ahri MID	17	58.8	219.4	-2.9
 Sivir ADC	 Jarvan IV JUNGLE	17	58.8	243.7	4.8
 Nautilus SUPPORT	 Gnar TOP	17	58.8	-174.4	1.1
 Jarvan IV JUNGLE	 Sion TOP	29	58.6	-371.1	-8.8
 Pantheon JUNGLE	 Bard SUPPORT	36	58.3	-23.7	-5.7
 Ryze MID	 Bard SUPPORT	36	58.3	37.4	-0.2
 Lee Sin JUNGLE	 Ryze MID	36	58.3	-136.2	4.3
 Ahri MID	 Nami SUPPORT	12	58.3	8.9	0.8
 Pantheon JUNGLE	 Anivia MID	12	58.3	-258.9	-9.2
 Ashe ADC	 Azir MID	12	58.3	43.8	-0.3
 Ahri MID	 Bard SUPPORT	12	58.3	56.7	1.7
 Vi JUNGLE	 Rumble TOP	31	58.1	130.1	-5.4
 Nami SUPPORT	 Renekton TOP	19	57.9	632.7	15.4
 Xin Zhao JUNGLE	 Annie MID	19	57.9	-691.4	-15.6
 Ezreal ADC	 Vi JUNGLE	19	57.9	-619.5	-6.4
 Milio SUPPORT	 Gnar TOP	19	57.9	104.3	-14.5
 Caitlyn ADC	 Pantheon JUNGLE	26	57.7	251.1	-2.3
 Xin Zhao JUNGLE	 KSante TOP	28	57.1	-448.6	-0.2
