Champion	Ban %	Total	First Pick (FP)	Second Pick (SP)	P1 Total	P1 FP	P1 SP	P2 Total	P2 FP	P2 SP
Varus Varus	74.7	118	87	31	118	87	31	0	0	0
Orianna Orianna	72.8	115	3	112	115	3	112	0	0	0
Nocturne Nocturne	59.5	94	49	45	78	42	36	16	7	9
Cassiopeia Cassiopeia	48.1	76	20	56	70	17	53	6	3	3
Karma Karma	46.2	73	33	40	70	30	40	3	3	0
Jarvan IV Jarvan IV	40.5	64	35	29	58	32	26	6	3	3
Bard Bard	29.1	46	32	14	36	25	11	10	7	3
Akali Akali	28.5	45	30	15	19	17	2	26	13	13
Nautilus Nautilus	25.9	41	23	18	18	14	4	23	9	14
Rumble Rumble	25.3	40	5	35	31	4	27	9	1	8
Vayne Vayne	23.4	37	35	2	8	8	0	29	27	2
Vi Vi	20.3	32	20	12	18	13	5	14	7	7
Pantheon Pantheon	19.6	31	18	13	20	13	7	11	5	6
Lucian Lucian	19	30	13	17	21	8	13	9	5	4
Xin Zhao Xin Zhao	19	30	15	15	14	8	6	16	7	9
Caitlyn Caitlyn	18.4	29	11	18	19	9	10	10	2	8
Ezreal Ezreal	18.4	29	17	12	25	15	10	4	2	2
Wukong Wukong	17.1	27	12	15	2	1	1	25	11	14
Annie Annie	16.5	26	14	12	9	6	3	17	8	9
Gnar Gnar	16.5	26	20	6	6	5	1	20	15	5
Lee Sin Lee Sin	15.8	25	11	14	9	4	5	16	7	9
Naafiri Naafiri	15.8	25	10	15	10	6	4	15	4	11
Jayce Jayce	15.2	24	11	13	7	4	3	17	7	10
Twisted Fate Twisted Fate	14.6	23	14	9	10	9	1	13	5	8
Seraphine Seraphine	14.6	23	10	13	20	8	12	3	2	1
Ashe Ashe	13.9	22	12	10	19	10	9	3	2	1
Trundle Trundle	12	19	8	11	6	3	3	13	5	8
Anivia Anivia	10.8	17	8	9	16	7	9	1	1	0
Ryze Ryze	10.8	17	9	8	9	3	6	8	6	2
Sion Sion	10.1	16	7	9	3	1	2	13	6	7
Ambessa Ambessa	10.1	16	12	4	6	4	2	10	8	2
Olaf Olaf	9.5	15	12	3	3	3	0	12	9	3
LeBlanc LeBlanc	8.9	14	8	6	2	2	0	12	6	6
KSante KSante	8.9	14	8	6	0	0	0	14	8	6
Lulu Lulu	8.2	13	7	6	6	4	2	7	3	4
Ziggs Ziggs	8.2	13	6	7	6	4	2	7	2	5
Viktor Viktor	7.6	12	7	5	0	0	0	12	7	5
Azir Azir	7.6	12	6	6	3	3	0	9	3	6
Poppy Poppy	7	11	3	8	1	1	0	10	2	8
Miss Fortune Miss Fortune	6.3	10	0	10	0	0	0	10	0	10
Sivir Sivir	6.3	10	4	6	2	1	1	8	3	5
Neeko Neeko	6.3	10	3	7	0	0	0	10	3	7
Yone Yone	6.3	10	6	4	6	5	1	4	1	3
Ahri Ahri	5.7	9	4	5	0	0	0	9	4	5
Renekton Renekton	5.7	9	5	4	2	1	1	7	4	3
Skarner Skarner	5.7	9	6	3	7	5	2	2	1	1
Yorick Yorick	5.7	9	7	2	0	0	0	9	7	2
Jhin Jhin	5.7	9	5	4	3	3	0	6	2	4
Aurora Aurora	5.7	9	5	4	1	1	0	8	4	4
Mel Mel	5.1	8	3	5	0	0	0	8	3	5
Shen Shen	4.4	7	5	2	2	2	0	5	3	2
Pyke Pyke	4.4	7	5	2	1	1	0	6	4	2
Corki Corki	3.8	6	3	3	0	0	0	6	3	3
Galio Galio	3.8	6	4	2	0	0	0	6	4	2
Taliyah Taliyah	3.8	6	4	2	0	0	0	6	4	2
Ornn Ornn	3.8	6	5	1	2	2	0	4	3	1
Milio Milio	3.8	6	2	4	6	2	4	0	0	0
Jax Jax	3.2	5	4	1	1	1	0	4	3	1
Alistar Alistar	2.5	4	3	1	0	0	0	4	3	1
Draven Draven	2.5	4	3	1	2	2	0	2	1	1
Maokai Maokai	2.5	4	1	3	1	1	0	3	0	3
Sylas Sylas	2.5	4	1	3	0	0	0	4	1	3
Yuumi Yuumi	2.5	4	0	4	1	0	1	3	0	3
Nasus Nasus	1.9	3	2	1	2	2	0	1	0	1
Kalista Kalista	1.9	3	1	2	1	0	1	2	1	1
Senna Senna	1.9	3	1	2	1	1	0	2	0	2
Gwen Gwen	1.9	3	3	0	0	0	0	3	3	0
Smolder Smolder	1.9	3	3	0	3	3	0	0	0	0
Yunara Yunara	1.9	3	1	2	0	0	0	3	1	2
Zaahen Zaahen	1.9	3	2	1	0	0	0	3	2	1
